id;image_path;figures_original;difference_figuren;rating;answer;fascination;participant_id;expertise;fromwhere;zuversichtlich;beurteilt;beurteiler1_yesno;beurteiler1_scaled;beurteiler2_yesno;beurteiler2_scaled;use_this;beurteiler3_yesno;ELO-RATING;accuracy_pixel_by_pixel;figuren;analogy_yes_no;time_on_board
1;2;8;0;5bk1/3QR2p/2B5/8/8/8/4P3/3K4;in klassisches Mattmuster bahnt sich an. Die weiße Dame und der Turm kontrollieren die 7. Reihe, während der Läufer die Diagonale beherrscht. Der schwarze König ist in der Ecke gefangen, mit dem eigenen Bauern als Hindernis.;5;54f1c9ac7a;Advanced;1;5;2;1;4;1;4;;;1433;0.765625;8;1;20.651300000000003
3;5;14;-8;8/3r2p1/6kp/8/2N5/8/4K3/8;Der Springer gabelt den König und den Turm, wodurch der König zum Ziehen gezwungen wird und die Optionen von Schwarz eingeschränkt werden.;2;54f1c9ac7a;Advanced;1;4;2;1;4;1;5;;;1433;0.703125;6;1;33.6898
4;3;13;-10;8/8/8/1KN4k/8/8/8/8;Nicht genügen Material. Trotz weißem Pferd.;4;54f1c9ac7a;Advanced;2;2;2;1;4;1;4;;;1433;0.75;3;1;14.925300000000004
6;14;12;-1;3qk3/r7/RrR1pP2/8/3p4/2PK4/8/8;"Türme auf den a- und b-Linien stehen in einer interessanten Balance. Ihre Präsenz auf diesen halboffenen Linien schafft gegenseitigen Druck und neutralisiert gleichzeitig die Vorteile des Gegners. Diese Turmkonfiguration erinnert an das Konzept der ""Turmverdopplung"", jedoch mit dem Unterschied, dass die Türme auf benachbarten Linien postiert sind, was eine Kontrolle über das Zentrum und den Damenflügel ermöglicht. Dame auf d8 spielt eine Schlüsselrolle in dieser Stellung. Ihre Position ist multifunktional: Einerseits übt sie Druck auf die d-Linie aus, andererseits bietet sie Unterstützung für den Turm auf b6.";3;54f1c9ac7a;Advanced;2;4;2;0;3;1;4;;1.0;1433;0.6875;11;1;32.3074
9;6;11;0;8/8/7k/4pPp1/3pP1P1/2pP3K/2P5/8;Dieses mal habe ich alles gleich belassen.;2;54f1c9ac7a;Advanced;2;5;2;1;1;1;2;;;1433;0.984375;11;1;25.8196
10;15;12;-6;8/2R5/2rk4/5p2/5P2/4K3/8/8;Weißer Turm auf c7 attackiert den schwarzen Turm auf c6 und wird dann vom schwarzen König genommen. in der zwischenzeit kann dann der weiße König den schwarzen Bauern sichern.;3;54f1c9ac7a;Advanced;1;3;2;0;3;1;3;;1.0;1433;0.71875;6;1;36.3244
11;2;8;0;8/4p1r1/4k3/5N2/4Q1P1/8/8/3RK3;Diese komplexe Stellung zeigt einen Angriff auf den König im Zentrum. Der weiße Springer auf f5 ist ein Schlüsselstein in der Stellung, der den schwarzen König bedroht und gleichzeitig die Verteidigung schwächt. Die weiße Dame und der Turm sind perfekt positioniert, um den Druck zu erhöhen, während der g4-Bauer wichtige Fluchtfelder kontrolliert.;5;54f1cace7a;Advanced;2;5;2;1;4;1;2;;;1289;0.796875;8;1;16.9751
12;1;7;0;7k/5Rn1/6PN/8/8/2B5/8/2K5;Der weiße Turm auf e7 und der Bauer auf g6 bilden einen starken Mattangriff.;3;54f1cace7a;Advanced;1;4;2;1;5;1;5;;;1289;0.90625;7;1;39.2923
15;11;8;2;2k5/2p5/4n2b/6r1/2NP2RP/3K4/8/8;Auch hier gleiht sich das Material aus. Keiner hat irgendwelche Vorteile. Auch wenn es unterschiedliches Material ist.;5;54f1cace7a;Advanced;1;4;2;0;3;1;4;;1.0;1289;0.765625;10;1;36.3396
17;12;8;-1;8/8/4bb1k/7p/8/2B3P1/5K2/8;Läufer auf c3 und Läufer auf f6 stechen sich gegenseitig aus.  Der Rest gleicht sich ebenfalls aus und es kann im Remi enden.;5;54f1cace7a;Advanced;2;5;2;1;4;1;3;;;1289;0.765625;7;1;31.1818
19;6;11;0;3k4/1pppp3/8/8/8/8/1PPPPP2/3K4;Das war sozusagend ie gleiche Anzahl an Bauern, jedoch an der jeweils in der 2 und 7 Linie.;5;54f1cace7a;Advanced;1;2;2;1;4;1;3;;;1289;0.671875;11;1;24.1061
21;2;8;-3;6rk/R7/2NQ4/8/8/8/8/8;Die Koordination von Turm, Dame und Pferd schränkt den schwarzen König massiv ein, schwarze Turm die Verteidigung behindert.;5;54f1cbf07a;Advanced;1;5;2;1;5;1;4;;;1338;0.8125;5;1;39.8239
22;1;7;-2;k1K5/b7/8/1Np5/8/8/8/8;Das weiße Pferd kann mit einem geschickten Zug eine Matt Situation voll ausbauen;3;54f1cbf07a;Advanced;1;3;2;0;3;1;4;;1.0;1338;0.8125;5;1;17.7142
23;5;14;-9;8/8/2q1kp2/8/3N4/3K4/8/8;"In der Schachstrategie bezeichnet man als ""Königsgabel"" eine taktische Kombination, bei der ein einzelner Springer gleichzeitig den gegnerischen König und die Dame angreift.";4;54f1cbf07a;Advanced;1;4;2;1;4;1;4;;;1338;0.71875;5;1;36.8547
24;3;13;-10;8/8/6k1/8/3NK3/8/8/8;Ungenügend Material, weißes Pferd ist nicht genug;4;54f1cbf07a;Advanced;1;4;2;1;4;1;4;;;1338;0.78125;3;1;27.2433
26;14;12;-4;4k3/7n/6r1/2p3b1/2P1B3/3K4/8/8;Läufer auf e4 nimmt g6 gibt Schach auf e8 und kann anschließend den Springer auf h7 nehmen. Damit ist es wieder ein ausgeglichenes Spiel;3;54f1cbf07a;Advanced;1;4;2;0;3;1;3;;1.0;1338;0.734375;8;1;21.6272
27;12;8;-3;8/2k5/4n3/2b5/3N4/8/4K3/8;Springer auf d4 nimmt Springer auf e6 gibt dann den König auf c7 ein Schach un nimmt dann den Läufer auf c5. König auf c6 nimmt Läufer c5. Remi;3;54f1cbf07a;Advanced;2;2;2;1;4;1;5;;;1338;0.8125;5;1;30.7999
30;15;12;-7;8/8/7k/8/6bP/8/6BK/8;Der Bauer auf h4 kann nicht vorwärts rücken, da er sofort vom König auf h6 oder dem Läufer auf g4 geschnappt werden würde.;3;54f1cbf07a;Advanced;2;3;2;1;4;1;4;;;1338;0.765625;5;1;16.660700000000002
31;2;8;1;8/4kq2/4p1p1/4N3/2B5/3Q4/8/R1K5;In dieser dynamischen Mittelspielstellung hat Weiß einen koordinierten Angriff auf den exponierten schwarzen König im Zentrum aufgebaut. Die weiße Dame, der Läufer und der Springer bilden eine gefährliche Batterie, während der Turm bereit ist, in die Aktion einzugreifen. Die schwarzen Bauern bieten nur minimalen Schutz und behindern gleichzeitig die Verteidigungsmöglichkeiten des Königs.;5;54f1cd087a;Advanced;1;5;2;1;4;1;5;;;1110;0.75;9;1;21.3252
32;1;7;0;knR5/2P5/8/3p4/1K1n4/8/8/8;Der weiße Bauer auf c7 kann zur Königin werden und gleichzeitig nicht nur das weiße Pferd schlagen, sondern dem schwarzen König ein Matt geben.;2;54f1cd087a;Advanced;1;4;2;1;5;1;4;;;1110;0.78125;7;1;36.2238
33;5;14;-8;8/3q1k2/2r3p1/4N3/8/5K2/8/8;Königsgabel- Dabei handelt es sich um einen gleichzeitigen Angriff auf König, Dame und Turm. In Fachkreisen wird diese Konstellation auch als Königsgabel bezeichnet.;4;54f1cd087a;Advanced;1;4;2;1;4;1;4;;;1110;0.71875;6;1;21.5013
34;3;13;-3;8/8/8/4p1k1/3pPp2/3P1Pp1/6P1/5K2;blockierenden Bauern eine Pattsituation ein klares Remi;4;54f1cd087a;Advanced;1;3;2;1;2;1;2;;;1110;0.78125;10;1;36.56
36;14;12;-2;1n3k2/8/1b1r4/p6p/P4B1P/3K4/8/8;Läufer auf f4 nimmt d6 Turm gibt Schach auf f8 und kann anschließend den Springer auf b8 nehmen. Damit ist es wieder ein ausgeglichenes Spiel;1;54f1cd087a;Advanced;2;4;2;0;3;1;4;;1.0;1110;0.671875;10;1;43.088
